index,seq_id,prep,samplename,seq_count
12758,MIR-19B,NTT (Corrected),NTT6 (Corrected),309.8117850950639
12759,MIR-19B,MTT (Corrected),MTT1 (Corrected),190.39238161815413
12760,MIR-19B,MTT (Corrected),MTT2 (Corrected),236.27674746910583
12761,MIR-19B,MTT (Corrected),MTT3 (Corrected),299.3578445629874
12762,MIR-19B,NTTR (Corrected),NTTR1 (Corrected),168.19398091586407
12763,MIR-19B,NTTR (Corrected),NTTR2 (Corrected),562.7851695887856
12764,MIR-19B,NTTR (Corrected),NTTR3 (Corrected),593.6318533026806
12765,MIR-19B,circ_ligase (Corrected),circ_ligase (Corrected),1687.6301484032942
12766,EBV-14-3P,NTC (Corrected),NTC4 (Corrected),320.495061019431
12767,EBV-14-3P,NTC (Corrected),NTC5 (Corrected),280.43317839200205
12768,EBV-14-3P,NTC (Corrected),NTC6 (Corrected),312.4826844939454
12769,EBV-14-3P,NTT (Corrected),NTT4 (Corrected),164.09578127840064
12770,EBV-14-3P,NTT (Corrected),NTT5 (Corrected),196.9149375340809
12771,EBV-14-3P,NTT (Corrected),NTT6 (Corrected),285.99550451378406
12772,EBV-14-3P,MTT (Corrected),MTT1 (Corrected),255.7596939926597
12773,EBV-14-3P,MTT (Corrected),MTT2 (Corrected),508.7985401768868
12774,EBV-14-3P,MTT (Corrected),MTT3 (Corrected),623.0741481310537
12775,EBV-14-3P,NTTR (Corrected),NTTR1 (Corrected),9431.226893718569
12776,EBV-14-3P,NTTR (Corrected),NTTR2 (Corrected),1296.9699166249754
12777,EBV-14-3P,NTTR (Corrected),NTTR3 (Corrected),25030.109640952614
12778,EBV-14-3P,circ_ligase (Corrected),circ_ligase (Corrected),28704.119524670565
12779,MIR-106B,NTC (Corrected),NTC4 (Corrected),256.39604881554493
12780,MIR-106B,NTC (Corrected),NTC5 (Corrected),268.4146136037734
12781,MIR-106B,NTC (Corrected),NTC6 (Corrected),296.4579314429736
12782,MIR-106B,NTT (Corrected),NTT4 (Corrected),96.11324332020611
12783,MIR-106B,NTT (Corrected),NTT5 (Corrected),91.42479242653751
12784,MIR-106B,NTT (Corrected),NTT6 (Corrected),138.3093013632234
12785,MIR-106B,MTT (Corrected),MTT1 (Corrected),111.5547601457345
12786,MIR-106B,MTT (Corrected),MTT2 (Corrected),367.3144541383941
12787,MIR-106B,MTT (Corrected),MTT3 (Corrected),307.4558023528782
12788,MIR-106B,NTTR (Corrected),NTTR1 (Corrected),14069.304095562236
12789,MIR-106B,NTTR (Corrected),NTTR2 (Corrected),888.1424429062336
12790,MIR-106B,NTTR (Corrected),NTTR3 (Corrected),24857.41527705418
12791,MIR-106B,circ_ligase (Corrected),circ_ligase (Corrected),44302.20466585306
12792,EBV-14-5P,NTC (Corrected),NTC4 (Corrected),1716.7231415453273
12793,EBV-14-5P,NTC (Corrected),NTC5 (Corrected),1440.7278876248952
12794,EBV-14-5P,NTC (Corrected),NTC6 (Corrected),1355.3163386305819
12795,EBV-14-5P,NTT (Corrected),NTT4 (Corrected),1361.0823595175364
12796,EBV-14-5P,NTT (Corrected),NTT5 (Corrected),1262.8451436512144
12797,EBV-14-5P,NTT (Corrected),NTT6 (Corrected),1392.7132140425858
12798,EBV-14-5P,MTT (Corrected),MTT1 (Corrected),750.8902647932069
12799,EBV-14-5P,MTT (Corrected),MTT2 (Corrected),1087.2935399952453
12800,EBV-14-5P,MTT (Corrected),MTT3 (Corrected),1224.2727832773157
12801,EBV-14-5P,NTTR (Corrected),NTTR1 (Corrected),907.9934535377784
12802,EBV-14-5P,NTTR (Corrected),NTTR2 (Corrected),1032.6988835489813
12803,EBV-14-5P,NTTR (Corrected),NTTR3 (Corrected),2925.261820804227
12804,EBV-14-5P,circ_ligase (Corrected),circ_ligase (Corrected),3352.3887814708182
12805,MIR-140-3P,NTC (Corrected),NTC4 (Corrected),267.1764706590714
12806,MIR-140-3P,NTC (Corrected),NTC5 (Corrected),254.43822817043585
12807,MIR-140-3P,NTC (Corrected),NTC6 (Corrected),292.81626643747836
12808,MIR-140-3P,NTT (Corrected),NTT4 (Corrected),121.26753592836853
12809,MIR-140-3P,NTT (Corrected),NTT5 (Corrected),162.6456628448253
12810,MIR-140-3P,NTT (Corrected),NTT6 (Corrected),169.81277489732912
12811,MIR-140-3P,MTT (Corrected),MTT1 (Corrected),102.04121766761462
12812,MIR-140-3P,MTT (Corrected),MTT2 (Corrected),160.38217472540293
12813,MIR-140-3P,MTT (Corrected),MTT3 (Corrected),185.5597360412166
12814,MIR-140-3P,NTTR (Corrected),NTTR1 (Corrected),36.204802261316516
12815,MIR-140-3P,NTTR (Corrected),NTTR2 (Corrected),164.9329880793308
12816,MIR-140-3P,NTTR (Corrected),NTTR3 (Corrected),131.88892252336723
12817,MIR-140-3P,circ_ligase (Corrected),circ_ligase (Corrected),6949.465156474945
12818,EBV-15,NTC (Corrected),NTC4 (Corrected),904.0317523037471
12819,EBV-15,NTC (Corrected),NTC5 (Corrected),743.9383239500261
12820,EBV-15,NTC (Corrected),NTC6 (Corrected),834.7660616095865
12821,EBV-15,NTT (Corrected),NTT4 (Corrected),587.2792658935848
12822,EBV-15,NTT (Corrected),NTT5 (Corrected),632.527599465214
12823,EBV-15,NTT (Corrected),NTT6 (Corrected),662.4791490780199
12824,EBV-15,MTT (Corrected),MTT1 (Corrected),498.22361119812166
12825,EBV-15,MTT (Corrected),MTT2 (Corrected),633.7139962956992
12826,EBV-15,MTT (Corrected),MTT3 (Corrected),645.6366318088285
12827,EBV-15,NTTR (Corrected),NTTR1 (Corrected),500.78570486032737
12828,EBV-15,NTTR (Corrected),NTTR2 (Corrected),687.9141267133564
12829,EBV-15,NTTR (Corrected),NTTR3 (Corrected),807.2667241006668
12830,EBV-15,circ_ligase (Corrected),circ_ligase (Corrected),691.671955425091
12831,EBV-16,NTC (Corrected),NTC4 (Corrected),483.7970523072857
12832,EBV-16,NTC (Corrected),NTC5 (Corrected),391.1550635675926
12833,EBV-16,NTC (Corrected),NTC6 (Corrected),475.5622088637576
12834,EBV-16,NTT (Corrected),NTT4 (Corrected),380.4306533036462
12835,EBV-16,NTT (Corrected),NTT5 (Corrected),400.90982083424143
